Type,Assembly Number,Revision,,,,,,,,,,
ECCCollectorPart,5847814,'1',,,,,,,,,,
Level,Find Number,Quantity,Reference Designator,Item,Revision,Description,UOM,Note,MPN,Manufacturer,Alternate,Substitute
 , , , , , ,"CAPACITOR 1.5PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B1R5CP152X,DALICAP CO LTD,,
4,11,0,,5357262-25,'3',"CAPACITOR 43PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,01521-ATC100B430GTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 43PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B430GP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 43PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-152CHB430GCL,EXXELIA,,
 , , , , , ,"CAPACITOR 43PF, 2PERCENT, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B430GTN1500X,KYOCERA AVX,,
4,19,0,,5357262-11,'3',"CAPACITOR 7.5PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,28443-152CHB7R5CCL,EXXELIA,,
 , , , , , ,"CAPACITOR 7.5PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B7R5CTN1500X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 7.5PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B7R5CP152X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 7.5PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B7R5CTN1500X,AMERICAN TECHNICAL CERAMICS,,
4,8,0,,5357262-28,'3',"CAPACITOR 56PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each,,24163-DLC10B560GP102X,DALICAP CO LTD,,
 , , , , , ,"CAPACITOR 56PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each, ,38487-100B560GTN1000X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 56PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-102CHB560GCL,EXXELIA,,
 , , , , , ,"CAPACITOR 56PF, 2PERCENT, 1000V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B560GTN1000X,AMERICAN TECHNICAL CERAMICS,,
4,17,0,,5357262-3,'3',"CAPACITOR 2PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,38487-100B2R0CTN1500X,KYOCERA AVX,,
 , , , , , ,"CAPACITOR 2PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,01521-ATC100B2R0CTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 2PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-152CHB2R0CCL,EXXELIA,,
 , , , , , ,"CAPACITOR 2PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B2R0CP152X,DALICAP CO LTD,,
4,16,0,,5357262-12,'3',"CAPACITOR 8.2PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,01521-ATC100B8R2CTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , ,"CAPACITOR 8.2PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,28443-152CHB8R2CCL,EXXELIA,,
 , , , , , ,"CAPACITOR 8.2PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each, ,24163-DLC10B8R2CP152X,DALICAP CO LTD,,
